_id,id,title,publish_date,source_country,sentiment
646fddfd0576b45037ddb41b,76155726,"Rent inflation pushing more people to buy, industry group warns",2022-12-06 01:01:00,ie,-0.214
646fddfd0576b45037ddb41c,70627816,Who runs Ireland’s road tolls and who gets the money?,2022-11-19 01:01:00,ie,0.034
646fddfd0576b45037ddb41d,85437328,"Minister Martin confirms funding of €300,000 for Minding Creative Minds as part of the Safe to Create Programme - MerrionStreet",2023-01-06 14:30:36,ie,0.216
646fddfd0576b45037ddb41e,79522166,McConalogue confirms opening of new fishery at meeting with inshore sector - MerrionStreet,2022-12-16 16:49:54,ie,0.211
646fddfd0576b45037ddb41f,80864692,Government launches updated Climate Action Plan accelerating ambition in reaching climate goals  - MerrionStreet,2022-12-21 17:27:42,ie,0.551
646fddfd0576b45037ddb420,70543392,"Lack of basic facilities discouraging women from taking up building and other trades, says union",2022-11-18 18:55:11,ie,-0.14
646fddfd0576b45037ddb421,110816778,Climate envoy Kerry: There can be no rolling back on clean energy transition,2023-04-16 14:50:50,ie,0.054
646fddfd0576b45037ddb422,71639878,Church ethos and role in healthcare or education can no longer be funded by State,2022-11-22 06:00:31,ie,0.196
646fddfd0576b45037ddb423,86241218,Fish producers welcome change to permit scheme for migrants,2023-01-09 23:30:04,ie,0.176
646fddfd0576b45037ddb424,81068690,Topcon invests in the future of construction with donation to TU Dublin,2022-12-21 11:43:29,ie,0.23
646fddfd0576b45037ddb425,98569650,Number of people working in agriculture fell in 2022,2023-02-23 21:43:38,ie,-0.413
646fddfd0576b45037ddb426,92227246,SDC delivers 30 new trailers to McBurney Transport,2023-01-31 17:30:27,ie,0.621
646fddfd0576b45037ddb427,65322096,"Construction industry slows as costs rise and uncertainty grows, survey finds",2022-11-03 01:29:52,ie,-0.153
646fddfd0576b45037ddb428,70357214,"Equestrian body spent more than €650,000 on severance payments and settlements",2022-11-18 06:00:00,ie,-0.371
646fddfd0576b45037ddb429,73518598,Money Diaries: A mum with a young family who recently moved home to Ireland after 15 years away,2022-11-27 21:00:42,ie,0.093
646fddfd0576b45037ddb42a,82188712,Soft plastic is being collected but almost all is burned in Irish kilns or recycled abroad,2022-12-27 01:05:20,ie,0.025
646fddfd0576b45037ddb42b,110882822,McRedmond calls time; home building on hold; and are modern offices fit for purpose,2023-04-17 07:14:54,ie,-0.141
646fddfd0576b45037ddb42c,111503868,Analysis: The €26 billion surplus could be used in a politically and financially clever way,2023-04-22 08:00:24,ie,-0.037
646fddfd0576b45037ddb42d,76603632,"VAT, levies, planning and other costs are making it unviable to build apartments",2022-12-07 06:53:00,ie,0.046
